"Team POSITION,TEAM,POINTS,PLAYED,WIN,DRAW,LOOSE,GOAL SCORED,GOAL ACCUMULATE,GOAL DIFFERENCE,SHOTS ON TRAGET,FOULS,YEELLOW_CARDS,RED CARDS"
"1,REAL MADRID,78,31,24,6,1,67,20,+47,200,304,55,4"
"2,FC BARCELONA,70,31,21,7,3,62,34,+28,182,338,71,2"
"3,GIRONA FC,65,31,20,5,6,63,39,+24,153,351,65,1"
"4,ATLÉTICO DE MADRID,61,31,19,4,8,59,36,+23,177,362,67,4"
"5,ATHLETIC CLUB,57,31,16,9,6,51,29,+22,147,428,65,3"
"6,REAL SOCIEDAD,50,31,13,11,7,45,33,+12,131,499,81,2"
"7,REAL BETIS,45,31,11,12,8,38,37,+1,119,353,72,3"
"8,VALENCIA CF,44,30,12,8,10,33,32,+1,106,384,50,4"
"9,VILLARREAL CF,39,31,10,9,12,49,54,-5,137,405,85,6"
"10,GETAFE CF,39,31,9,12,10,37,43,-6,125,527,111,8"
"11,CA OSASUNA,39,30,11,6,13,36,43,-7,103,427,63,4"
"12,UD LAS PALMAS,37,31,10,7,14,29,35,-6,100,332,71,5"
"13,SEVILLA FC,34,31,8,10,13,39,44,-5,137,389,87,4"
"14,DEPORTIVO ALAVÉS,32,31,8,8,15,26,38,-12,108,386,63,1"
"15,RCD MALLORCA,31,31,6,13,12,25,36,-11,108,478,85,3"
"16,RAYO VALLECANO,31,31,6,13,12,25,38,-13,128,483,84,4"
"17,RC CELTA,28,31,6,10,15,33,46,-13,124,379,50,5"
"18,CÁDIZ CF,25,31,4,13,14,21,41,-20,94,480,88,6"
"19,GRANADA CF,17,31,3,8,20,32,60,-28,117,413,78,3"
"20,UD ALMERÍA,14,31,1,11,19,30,62,-32,124,405,72,4"
